,Index,Centroid_X,Centroid_Y:,Area,Perimeter,Aspect_Ratio
89,89.0,107.0,265.0,28.0,22.0,1.6
90,90.0,115.0,272.0,156.0,66.14213538169861,0.8333333333333334
91,91.0,265.0,263.0,20.0,18.0,1.2
92,92.0,88.0,266.0,63.5,40.24264061450958,0.9166666666666666
93,93.0,98.0,257.0,16.0,16.0,1.0
94,94.0,55.0,256.0,30.0,22.82842707633972,1.3333333333333333
95,95.0,390.0,252.0,33.0,32.82842707633972,0.9
96,96.0,331.0,267.0,453.5,103.21320307254791,0.38095238095238093
97,97.0,60.0,249.0,16.0,16.0,1.0
98,98.0,103.0,247.0,16.0,16.0,1.0
99,99.0,93.0,247.0,24.0,20.0,1.4
100,100.0,113.0,252.0,139.5,53.899494767189026,0.875
101,101.0,243.0,242.0,16.0,16.0,1.0
102,102.0,57.0,240.0,20.0,18.0,1.2
103,103.0,109.0,233.0,143.0,74.14213538169861,1.25
104,104.0,118.0,223.0,63.0,32.82842707633972,0.9
105,105.0,415.0,221.0,24.0,20.0,0.7142857142857143
106,106.0,68.0,220.0,16.0,16.0,1.0
107,107.0,290.0,220.0,63.0,32.485281109809875,1.0
108,108.0,109.0,216.0,16.0,16.0,1.0
109,109.0,100.0,215.0,24.0,20.0,0.7142857142857143
110,110.0,74.0,206.0,20.0,18.0,1.2
111,111.0,119.0,207.0,84.0,36.485281109809875,0.8333333333333334
112,112.0,41.0,204.0,16.0,16.0,1.0
113,113.0,150.0,212.0,264.5,74.38477599620819,0.7391304347826086
114,114.0,85.0,197.0,80.5,41.071067690849304,1.0
115,115.0,398.0,192.0,16.0,16.0,1.0
116,116.0,61.0,192.0,20.0,18.0,0.8333333333333334
117,117.0,276.0,187.0,16.0,16.0,1.0
118,118.0,57.0,184.0,16.0,16.0,1.0
119,119.0,352.0,218.0,1153.5,286.7523065805435,0.631578947368421
120,120.0,276.0,179.0,16.0,16.0,1.0
121,121.0,105.0,188.0,254.0,127.4558436870575,1.8
122,122.0,92.0,179.0,52.5,29.41421353816986,1.4285714285714286
123,123.0,302.0,150.0,33.5,22.242640614509583,1.0
124,124.0,370.0,166.0,457.0,112.28427076339722,0.5609756097560976
125,125.0,36.0,145.0,24.0,20.0,1.4
